time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
7.5,1.100000024,11.0,24.21466064,0.159035474,-79.78139775,40.45804742,269.47826289999995,0.001810657,0.005660649,-0.255487353,0.966794133,-0.01168089,-0.005277932,0.021776122,-0.002046283,-0.00081516,-0.002013168,0.003077233,-0.127335601,-9.80964215
7.71,1.0,13.0,24.20714760000001,0.174939021,-79.78139773,40.45804742,269.4972777,0.001811114,0.005664051,-0.255489469,0.966793656,-0.011676848,-0.00489515,0.022069889,-0.002838031,0.002634514,-0.004124802,0.004487666,-0.127185985,-9.810302886
7.8,0.8999999759999999,13.0,24.22092056,0.151083708,-79.78139773999999,40.45804742,269.49951880000003,0.001811114,0.005664051,-0.255489469,0.966793656,-0.011819482,-0.00461638,0.022364625,0.001108104,-0.002721313,0.000400832,0.007327172,-0.114317689,-9.811286387
8.0,0.8999999759999999,19.0,24.21466064,0.143131927,-79.78139772,40.4580474,269.5199518,0.001817251,0.005669347,-0.25548929,0.966793597,-0.009149103,-0.008402241,0.022248809,-0.000165763,0.001971832,-0.002288738,0.008996351,-0.11370649,-9.811820823
8.11,0.800000012,24.0,24.21591187,0.13518016,-79.78139773999999,40.4580474,269.52218480000005,0.001817251,0.005669347,-0.25548929,0.966793597,-0.009655772,-0.008422231,0.022162887,-2.77e-05,-0.001434548,0.003716703,0.002871229,-0.127874458,-9.809231091
8.3,0.800000012,27.0,24.20714760000001,0.174939021,-79.78139771,40.4580474,269.543847,0.001815434,0.0056731119999999,-0.255492628,0.966792703,-0.010084615,-0.006457563,0.022364626,0.002685382,0.000854112,0.004743184,0.004930411,-0.125703588,-9.809589525
8.41,0.699999988,32.0,24.21090508,0.151083708,-79.78139773,40.4580474,269.5461058,0.001815434,0.0056731119999999,-0.255492628,0.966792703,-0.01112332,-0.006572264,0.022525161,-0.004080728,-0.003352053,-0.006620366,0.009120635,-0.116941801,-9.813030027
8.6,0.699999988,34.0,24.21466064,0.13518016,-79.78139766999999,40.45804739,269.5690064,0.00181302,0.005683565,-0.255498052,0.966791213,-0.007152842,-0.002963704,0.022744876,0.000180285,0.000639791,-0.007139247,0.008416976,-0.12145618,-9.81342296
8.7,0.699999988,36.0,24.20464516,0.174939021,-79.78139763,40.45804738,269.5899734,0.001817611,0.00568682,-0.255493581,0.966792345,-0.00583391,-0.006332042,0.022814058,0.001942237,-0.001107649,0.003371843,0.003368434,-0.122720028,-9.810536774
8.9,0.699999988,37.0,24.20840073,0.159035474,-79.78139764999999,40.45804737,269.5945572,0.001817611,0.00568682,-0.255493581,0.966792345,-0.0070328319999999,-0.006078621,0.022999688,0.001184792,-9.69e-05,0.004311498,0.0063056419999999,-0.11760144,-9.810704005
